Timestamp	From	To	Message
2021-11-05 15:15:43.254014	begemot	kaktus	бро сори отвалился интернет
2021-11-05 15:15:59.738567	begemot	kaktus	извини сейчас все выдам
2021-11-05 15:16:09.028418	begemot	kaktus	у  меня просто все в краш
2021-11-05 15:16:13.402870	begemot	kaktus	и только появился
2021-11-05 15:16:20.320436	kaktus	begemot	ага жду
2021-11-05 15:16:23.018720	begemot	kaktus	это gator
2021-11-05 15:16:32.796584	begemot	kaktus	столько роботы заново
2021-11-05 15:16:38.015304	begemot	kaktus	сейчас все выдам
