Timestamp	From	To	Message
2021-04-15 08:18:30.517955	mentos	dandis	привет
2021-04-15 08:25:27.727643	mentos	dandis	это велдан
2021-04-15 10:13:54.284566	mentos	dandis	привет
2021-04-15 10:13:54.297496	mentos	dandis	это велдан
2021-04-16 11:05:57.154738	mentos	dandis	привет, я дописал -о, потестил вроде норм, скоро подойду
2021-04-18 10:46:55.503568	mentos	dandis	привет, я дописал -о, потестил вроде норм, скоро подойду
2021-04-23 13:44:02.627565	dandis	mentos	Привет тут?
2021-04-23 15:40:06.532483	mentos	dandis	да
